ipid;linie;km_go;tunnelname;tunnelsystem;inbetrieb_nahmejahr;koordinate_e;koordinate_n;geopos;kanton
2790735.0;400;20.054;Emmetunnel;1-Röhre / 2-Spuren;2004;2610164.547;1215051.52;47.0863951101, 7.57249017374;Bern
2790910.0;400;37.149;Gishübeltunnel;Andere;2004;2619891.665;1227603.533;47.1990777691, 7.70114042668;Bern
2821661.0;415;68.966;Wolfachertunnel Nord;1-Röhre / 1-Spur;2004;2618752.523;1227349.201;47.1968233399, 7.6860965968;Bern
1590737.0;501;10.287;Adlertunnel;1-Röhre / 2-Spuren;2000;2619027.614;1262062.309;47.5090342699, 7.69119694763;Basel-Landschaft
2784110.0;503;32.245;Hauensteintunnel;1-Röhre / 1-Spur;1857;2632189.32;1247858.519;47.38077463, 7.8648813289;Solothurn
1856658.0;503;29.915;Mühlefluhtunnel BL;1-Röhre / 1-Spur;1857;2631223.838;1249974.953;47.399856429, 7.85224399841;Basel-Landschaft
124555.0;570;6.544;Schiltenneunetunnel;1-Röhre / 1-Spur;1897;2668707.431;1211467.567;47.050678095, 8.3428771804;Luzern
124576.0;570;7.043;Seeburgtunnel;1-Röhre / 1-Spur;1897;2668903.462;1211004.445;47.0464922447, 8.34538646808;Luzern
1457911.0;600;48.847;Bristentunnel;1-Röhre / 2-Spuren;1882;2693720.38;1180030.637;46.7648660768, 8.66555275185;Uri
1268631.0;600;104.53;Galleria Boscerina;1-Röhre / 2-Spuren;1882;2702493.939;1149446.061;46.4884895566, 8.77357666267;Ticino
124676.0;600;160.008;Galleria Costa;1-Röhre / 1-Spur;1874;2717406.555;1111705.153;46.1466020275, 8.95824063008;Ticino
796688.0;600;179.327;Galleria Massagno sinistra;1-Röhre / 2-Spuren;1882;2716148.415;1096807.804;46.0128350443, 8.93827492334;Ticino
124672.0;600;160.718;Galleria Meggiagra Gl. 200;1-Röhre / 1-Spur;1882;2716818.452;1111411.228;46.1440607084, 8.95055737221;Ticino
1252779.0;600;115.815;Galleria Pianotondo;1-Röhre / 2-Spuren;1882;2709219.479;1142571.159;46.4255925161, 8.85953369453;Ticino
1268654.0;600;102.438;Galleria Prato;1-Röhre / 2-Spuren;1882;2702278.386;1149170.587;46.4860448097, 8.77070881242;Ticino
1067994.0;600;151.463;Galleria Svitto;1-Röhre / 2-Spuren;1874;2722443.61;1116793.487;46.1914687724, 9.02474943763;Ticino
1296558.0;600;117.011;Galleria Tourniquet;1-Röhre / 2-Spuren;1882;2708999.926;1142242.784;46.4226747878, 8.85660083491;Ticino
323231.0;604;21.511;Morschachtunnel;1-Röhre / 1-Spur;1947;2689229.785;1205142.613;46.9913465527, 8.61168834999;Schwyz
124656.0;605;30.173;Alte Gruonbachgalerie li. G100;1-Röhre / 1-Spur;1882;2690322.465;1196703.72;46.9152981352, 8.62437473805;Uri
1856697.0;630;168.868;Galleria Roca Bella;1-Röhre / 1-Spur;1980;2707968.074;1115289.367;46.180417477, 8.8369318257;Ticino
709960.0;650;42.018;Aarauer Stadttunnel II Süd;1-Röhre / 2-Spuren;1993;2645804.637;1248875.917;47.3891199851, 8.04527570201;Aargau
731330.0;660;19.115;Zimmerbergtunnel;1-Röhre / 1-Spur;1897;2686104.693;1233317.908;47.2451657857, 8.57597850053;Zürich
1380475.0;665;12.266;Kalkofentunnel;1-Röhre / 1-Spur;1897;2682864.916;1214426.661;47.075674108, 8.52972086712;Schwyz
1359849.0;665;7.045;Lothenbachtunnel;1-Röhre / 1-Spur;1898;2680594.097;1218901.01;47.1161969065, 8.50062169137;Zug
1380515.0;665;14.416;Mühlefluhtunnel SZ;1-Röhre / 2-Spuren;1897;2684026.951;1212677.128;47.0597923313, 8.54469481284;Schwyz
1380436.0;665;10.405;St. Adriantunnel;1-Röhre / 1-Spur;1897;2682401.335;1216201.165;47.0916919495, 8.52394075324;Zug
1526910.0;704;39.932;Tägerhardtunnel;1-Röhre / 2-Spuren;1981;2668483.879;1255198.438;47.4440153007, 8.34659306846;Aargau
1472036.0;711;15.558;Landikontunnel;1-Röhre / 2-Spuren;1864;2677634.194;1244641.527;47.3480567933, 8.46606383459;Zürich
1179966.0;720;4.511;Engetunnel;1-Röhre / 1-Spur;1927;2682528.573;1245912.701;47.3588945157, 8.53106383349;Zürich
1526966.0;736;82.094;Erlenrunstunnel;1-Röhre / 1-Spur;1879;2720292.214;1199949.499;46.9397390368, 9.01857874495;Glarus
998055.0;745;106.255;Zürichbergtunnel;Y / 2-Spur + 2x 1-Spur;1990;2687175.299;1249592.92;47.3913935604, 8.59328112543;Zürich
1377311.0;750;12.279;Hagenholztunnel;1-Röhre / 2-Spuren;1980;2687254.322;1255546.893;47.4449281042, 8.5954902325;Zürich
1179899.0;754;38.256;Jonaschluchttunnel;1-Röhre / 1-Spur;1876;2711827.035;1237995.678;47.2833783798, 8.91683605527;Zürich
1472408.0;762;52.949;Rötitunnel;1-Röhre / 1-Spur;1964;2688742.65;1281344.768;47.6767209668, 8.6203713953;Schaffhausen
1472349.0;770;39.222;Neuhausertunnel;1-Röhre / 1-Spur;1897;2688646.951;1281629.289;47.6792924135, 8.61915420267;Schaffhausen
